id,max_quality,cost,capital,pur,price,period,lag_price,lag_qv,lag_pur,lag_capital,diff_price,diff_qv,diff_pur,diff_capital
16,27.0,91.22,586.48,0,92.22,3,73.93,26.0,0.0,993.49,18.289999999999992,1.0,0.0,-407.01
17,12.0,16.06,963.04,0,17.06,3,29.4,21.0,0.0,634.03,-12.34,-9.0,0.0,329.01
18,22.0,81.16,479.59,0,82.16,3,73.19,14.0,0.0,1108.11,8.969999999999999,8.0,0.0,-628.52
19,24.0,88.85,704.1,0,89.85,3,84.59,26.0,0.0,747.75,5.259999999999991,-2.0,0.0,-43.64999999999998
20,28.0,16.83,4028.75,876,17.83,3,54.01,1.0,0.0,1241.35,-36.18,27.0,876.0,2787.4
21,10.0,41.84,1048.04,0,42.84,3,86.07,8.0,0.0,992.54,-43.22999999999999,2.0,0.0,55.5
22,3.0,33.78,716.41,0,34.78,3,44.64,18.0,0.0,1090.86,-9.86,-15.0,0.0,-374.44999999999993
23,31.0,35.15,1196.24,613,36.15,3,48.98,27.0,0.0,1570.34,-12.829999999999998,4.0,613.0,-374.0999999999999
24,21.0,29.35,399.64,0,30.35,3,45.94,21.0,0.0,1273.55,-15.589999999999996,0.0,0.0,-873.91
25,29.0,47.91,1570.34,0,48.91,3,23.46,24.0,63.0,730.45,25.449999999999996,5.0,-63.0,839.8899999999999
26,31.0,84.55,1136.2,0,85.55,3,15.0,22.0,419.0,1727.58,70.55,9.0,-419.0,-591.3799999999999
27,9.0,11.35,617.12,0,12.35,3,14.0,21.0,54.0,1502.69,-1.6500000000000004,-12.0,-54.0,-885.57
28,24.0,62.85,590.44,0,63.85,3,80.46,8.0,0.0,678.36,-16.609999999999992,16.0,0.0,-87.91999999999996
29,7.0,100.52,12.08,0,101.52,3,105.92,17.0,0.0,897.27,-4.400000000000006,-10.0,0.0,-885.1899999999999
30,19.0,98.55,583.87,0,99.55,3,1.05,18.0,315.0,2212.28,98.5,1.0,-315.0,-1628.4100000000003
31,26.0,30.69,919.16,0,31.69,3,87.54,7.0,0.0,344.59,-55.85000000000001,19.0,0.0,574.5699999999999
32,12.0,37.42,563.92,0,38.42,3,97.74,11.0,0.0,420.24,-59.31999999999999,1.0,0.0,143.67999999999995
33,38.0,96.07,890.9099999999999,8,97.07,3,48.74,12.0,0.0,845.58,48.32999999999999,26.0,8.0,45.329999999999814
